site_name_norm,imps,clicks,actions,spend,ctr,atr,cpc,cpa,vendor_impression_count,vendor_viewability_score
arcadeninja.net,77,0,1,0.346,0.0000000000,0.0129870130,0,0.346,86,18.6
chicagoreader.com,77,0,1,0.328,0.0000000000,0.0129870130,0,0.328,63,42.86
wtvm.com,77,0,1,0.310,0.0000000000,0.0129870130,0,0.310,59,11.86
webmail.cincinnatibell.net,77,0,0,0.087,0.0000000000,0.0000000000,0,0,76,28.95
ox-social.bidsystem.com,77,0,0,0.079,0.0000000000,0.0000000000,0,0,76,9.21
ad.doubleclick.net,7669,0,78,23.086,0.0000000000,0.0101708176,0,0.296,7157,20.29
ibtimes.com,76,0,4,0.272,0.0000000000,0.0526315789,0,0.068,70,10.0
kfvs12.com,76,0,2,0.358,0.0000000000,0.0263157895,0,0.179,74,25.68
mangapanda.com,76,0,1,0.434,0.0000000000,0.0131578947,0,0.434,60,8.33
attackofthecute.com,76,0,0,0.641,0.0000000000,0.0000000000,0,0,71,32.39
popmatters.com,76,0,0,0.371,0.0000000000,0.0000000000,0,0,59,15.25
today.msnbc.msn.com,756,0,7,4.537,0.0000000000,0.0092592593,0,0.648,718,27.3
rmgsports3.microsoftadvertisingexchange.com,755,0,2,0.632,0.0000000000,0.0026490066,0,0.316,796,6.28
forums.corvetteforum.com,75,0,3,0.532,0.0000000000,0.0400000000,0,0.177,60,30.0
runningintheusa.com,75,0,3,0.421,0.0000000000,0.0400000000,0,0.140,67,40.3
jeepforum.com,75,0,2,0.411,0.0000000000,0.0266666667,0,0.206,66,43.94
tcpalm.com,75,0,2,0.304,0.0000000000,0.0266666667,0,0.152,67,31.34
wkbn.com,75,0,1,0.444,0.0000000000,0.0133333333,0,0.444,23,21.74
blog.seattlepi.com,75,0,1,0.309,0.0000000000,0.0133333333,0,0.309,62,9.68
mapsofworld.com,75,0,1,0.215,0.0000000000,0.0133333333,0,0.215,48,18.75
162913-69725-bizo.com,75,0,0,0.640,0.0000000000,0.0000000000,0,0,70,42.86
gayot.com,75,0,0,0.231,0.0000000000,0.0000000000,0,0,83,33.73
rmgfamily2.microsoftadvertisingexchange.com,75,0,0,0.118,0.0000000000,0.0000000000,0,0,64,14.06
latimes.com,749,0,11,2.733,0.0000000000,0.0146862483,0,0.248,669,20.18
facebook.com,7487,0,30,16.664,0.0000000000,0.0040069454,0,0.555,7993,10.67
koaa.com,74,0,2,0.651,0.0000000000,0.0270270270,0,0.326,56,48.21
jjhuddle.com,74,0,0,0.227,0.0000000000,0.0000000000,0,0,62,16.13
mediaservices-d.openxenterprise.com,733,0,8,1.545,0.0000000000,0.0109140518,0,0.193,751,17.18
wikifeet.com,73,1,1,0.417,0.0136986301,0.0136986301,0.417,0.417,61,70.49
manganation.net,73,0,2,0.298,0.0000000000,0.0273972603,0,0.149,113,11.5
apartmenttherapy.com,73,0,2,0.186,0.0000000000,0.0273972603,0,0.093,68,27.94
redalertpolitics.com,73,0,0,0.184,0.0000000000,0.0000000000,0,0,70,35.71
supercheats.com,73,0,0,0.140,0.0000000000,0.0000000000,0,0,61,27.87
a01.gestionpub.com,73,0,0,0.057,0.0000000000,0.0000000000,0,0,78,21.79
default-maskdomain-bizo.com,725,0,13,5.628,0.0000000000,0.0179310345,0,0.433,635,23.94
ad.media-servers.net,720,0,7,1.023,0.0000000000,0.0097222222,0,0.146,624,16.83
match.meetme.com,72,2,0,0.173,0.0277777778,0.0000000000,0.087,0,48,45.83
losangeles.cbslocal.com,72,0,2,0.476,0.0000000000,0.0277777778,0,0.238,69,21.74
newsandtribune.com,72,0,2,0.395,0.0000000000,0.0277777778,0,0.198,58,10.34
